Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Trump,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation
CNN,4/28/2016,5/1/2016,2016-05-04T13:43:46Z,,Registered Voters - independent,Live Phone,51,40,8,2,http://elections.huffingtonpost.com/pollster/polls/cnn-24438,http://i2.cdn.turner.com/cnn/2016/images/05/04/rel6b.-.2016.general.pdf,Nonpartisan,None
Morning Consult,4/26/2016,4/29/2016,2016-04-29T17:28:54Z,1964,Registered Voters,Internet,46,39,15,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24408,https://morningconsult.com/2016/04/poll-kasich-gops-favorite-second-choice/,Nonpartisan,None
Morning Consult,4/26/2016,4/29/2016,2016-04-29T17:28:54Z,733,Registered Voters - Democrat,Internet,78,11,11,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24408,https://morningconsult.com/2016/04/poll-kasich-gops-favorite-second-choice/,Nonpartisan,None
Morning Consult,4/26/2016,4/29/2016,2016-04-29T17:28:54Z,573,Registered Voters - Republican,Internet,11,76,13,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24408,https://morningconsult.com/2016/04/poll-kasich-gops-favorite-second-choice/,Nonpartisan,None
Morning Consult,4/26/2016,4/29/2016,2016-04-29T17:28:54Z,658,Registered Voters - independent,Internet,40,37,23,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24408,https://morningconsult.com/2016/04/poll-kasich-gops-favorite-second-choice/,Nonpartisan,None
IBD/TIPP,4/22/2016,4/28/2016,2016-05-01T19:16:05Z,814,Registered Voters,Live Phone,47,40,5,7,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24414,http://www.investors.com/politics/trump-gains-ground-on-clinton-but-both-have-sky-high-negatives/,Nonpartisan,None
IBD/TIPP,4/22/2016,4/28/2016,2016-05-01T19:16:05Z,280,Registered Voters - Democrat,Live Phone,86,9,2,2,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24414,http://www.investors.com/politics/trump-gains-ground-on-clinton-but-both-have-sky-high-negatives/,Nonpartisan,None
IBD/TIPP,4/22/2016,4/28/2016,2016-05-01T19:16:05Z,250,Registered Voters - Republican,Live Phone,10,77,6,8,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24414,http://www.investors.com/politics/trump-gains-ground-on-clinton-but-both-have-sky-high-negatives/,Nonpartisan,None
IBD/TIPP,4/22/2016,4/28/2016,2016-05-01T19:16:05Z,273,Registered Voters - independent,Live Phone,43,39,8,10,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24414,http://www.investors.com/politics/trump-gains-ground-on-clinton-but-both-have-sky-high-negatives/,Nonpartisan,None
Rasmussen,4/27/2016,4/28/2016,2016-05-02T18:48:25Z,1000,Likely Voters,Automated Phone,39,41,5,15,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24426,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/trump_41_clinton_39,Nonpartisan,None
Ipsos/Reuters,4/23/2016,4/27/2016,2016-04-28T16:36:01Z,1756,Registered Voters,Internet,43,36,9,13,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24395,http://big.assets.huffingtonpost.com/ReutersTrackingCorePolitical4.27.2016.pdf,Nonpartisan,None
YouGov/Economist,4/22/2016,4/26/2016,2016-04-27T21:51:24Z,1561,Registered Voters,Internet,43,40,13,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24390,https://today.yougov.com/news/2016/04/27/yougov-economist-poll-april-22-26-2016/,Nonpartisan,None
YouGov/Economist,4/22/2016,4/26/2016,2016-04-27T21:51:24Z,610,Registered Voters - Democrat,Internet,82,9,6,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24390,https://today.yougov.com/news/2016/04/27/yougov-economist-poll-april-22-26-2016/,Nonpartisan,None
YouGov/Economist,4/22/2016,4/26/2016,2016-04-27T21:51:24Z,449,Registered Voters - Republican,Internet,6,79,12,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24390,https://today.yougov.com/news/2016/04/27/yougov-economist-poll-april-22-26-2016/,Nonpartisan,None
YouGov/Economist,4/22/2016,4/26/2016,2016-04-27T21:51:24Z,502,Registered Voters - independent,Internet,31,40,21,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24390,https://today.yougov.com/news/2016/04/27/yougov-economist-poll-april-22-26-2016/,Nonpartisan,None
Rasmussen,4/25/2016,4/26/2016,2016-04-29T13:55:05Z,1000,Likely Voters,Automated Phone,38,38,2,16,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24400,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_edges_ahead_of_trump_in_presidential_matchup,Nonpartisan,None
NBC/SurveyMonkey,4/18/2016,4/24/2016,2016-04-26T14:31:39Z,9405,Registered Voters,Internet,44,36,1,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24362,http://www.nbcnews.com/politics/2016-election/poll-trump-reaches-50-percent-support-nationally-first-time-n562061,Nonpartisan,None
Suffolk/USA Today,4/20/2016,4/24/2016,2016-04-25T19:13:35Z,1000,Likely Voters,Live Phone,50,39,8,,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24356,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
Suffolk/USA Today,4/20/2016,4/24/2016,2016-04-25T19:13:35Z,357,Likely Voters - Democrat,Live Phone,90,5,4,,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24356,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
Suffolk/USA Today,4/20/2016,4/24/2016,2016-04-25T19:13:35Z,305,Likely Voters - Republican,Live Phone,9,80,8,,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24356,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
Suffolk/USA Today,4/20/2016,4/24/2016,2016-04-25T19:13:35Z,338,Likely Voters - independent,Live Phone,45,39,13,,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-24356,http://www.suffolk.edu/academics/10741.php,Nonpartisan,None
Morning Consult,4/20/2016,4/22/2016,2016-04-29T18:17:35Z,2003,Registered Voters,Internet,46,40,15,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24410,https://morningconsultintelligence.com/media/mc/160407_topline_trend_v5_KD.pdf,Nonpartisan,None
Morning Consult,4/20/2016,4/22/2016,2016-04-29T18:17:35Z,782,Registered Voters - Democrat,Internet,79,13,8,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24410,https://morningconsultintelligence.com/media/mc/160407_topline_trend_v5_KD.pdf,Nonpartisan,None
Morning Consult,4/20/2016,4/22/2016,2016-04-29T18:17:35Z,622,Registered Voters - Republican,Internet,14,74,12,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24410,https://morningconsultintelligence.com/media/mc/160407_topline_trend_v5_KD.pdf,Nonpartisan,None
Morning Consult,4/20/2016,4/22/2016,2016-04-29T18:17:35Z,599,Registered Voters - independent,Internet,34,39,27,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24410,https://morningconsultintelligence.com/media/mc/160407_topline_trend_v5_KD.pdf,Nonpartisan,None
Ipsos/Reuters,4/16/2016,4/20/2016,2016-04-21T14:08:44Z,1334,Registered Voters,Internet,44,33,12,12,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24323,http://big.assets.huffingtonpost.com/2016ReutersPolitical4202016.pdf,Nonpartisan,None
Zogby (Internet),4/19/2016,4/20/2016,2016-04-28T14:29:22Z,834,Likely Voters,Internet,47,40,14,,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-24393,http://zogbyanalytics.com/news/742-zogby-analytics-news-wire-general-election-head-to-head-matchups,Nonpartisan,None
GWU/Battleground,4/17/2016,4/20/2016,2016-04-25T14:20:12Z,1000,Likely Voters,Live Phone,46,43,11,,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-24342,https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll,Nonpartisan,None
GWU/Battleground,4/17/2016,4/20/2016,2016-04-25T14:20:12Z,420,Likely Voters - Democrat,Live Phone,86,9,5,,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-24342,https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll,Nonpartisan,None
GWU/Battleground,4/17/2016,4/20/2016,2016-04-25T14:20:12Z,390,Likely Voters - Republican,Live Phone,8,80,13,,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-24342,https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll,Nonpartisan,None
GWU/Battleground,4/17/2016,4/20/2016,2016-04-25T14:20:12Z,190,Likely Voters - independent,Live Phone,37,42,21,,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-24342,https://mediarelations.gwu.edu/americans-overwhelmingly-engaged-2016-election-tone-race-affecting-voters-new-gw-battleground-poll,Nonpartisan,None
NBC/SurveyMonkey,4/11/2016,4/17/2016,2016-04-19T14:17:06Z,11498,Registered Voters,Internet,48,39,4,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24307,http://www.nbcnews.com/politics/2016-election/trump-leads-kasich-support-reaches-new-high-ahead-n-y-n557826,Nonpartisan,None
Morning Consult,4/15/2016,4/17/2016,2016-04-18T19:24:26Z,2032,Registered Voters,Internet,46,37,17,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24302,https://morningconsult.com/2016/04/bernie-sanders-hillary-clinton-democratic-presidential-poll/,Nonpartisan,None
Morning Consult,4/15/2016,4/17/2016,2016-04-18T19:24:26Z,775,Registered Voters - Democrat,Internet,78,12,10,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24302,https://morningconsult.com/2016/04/bernie-sanders-hillary-clinton-democratic-presidential-poll/,Nonpartisan,None
Morning Consult,4/15/2016,4/17/2016,2016-04-18T19:24:26Z,624,Registered Voters - Republican,Internet,13,70,17,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24302,https://morningconsult.com/2016/04/bernie-sanders-hillary-clinton-democratic-presidential-poll/,Nonpartisan,None
Morning Consult,4/15/2016,4/17/2016,2016-04-18T19:24:26Z,633,Registered Voters - independent,Internet,40,36,24,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24302,https://morningconsult.com/2016/04/bernie-sanders-hillary-clinton-democratic-presidential-poll/,Nonpartisan,None
NBC/WSJ,4/10/2016,4/14/2016,2016-04-18T21:05:54Z,1000,Registered Voters,Live Phone,50,39,2,9,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24305,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/16229%20NBCWSJ%20April%20Poll.pdf,Pollster,Dem
Ipsos/Reuters,4/9/2016,4/13/2016,2016-04-14T19:37:25Z,1424,Registered Voters,Internet,43,34,7,15,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24278,http://big.assets.huffingtonpost.com/2016ReuterTracking4132016.pdf,Nonpartisan,None
FOX,4/11/2016,4/13/2016,2016-04-14T22:06:00Z,1021,Registered Voters,Live Phone,48,41,2,2,http://elections.huffingtonpost.com/pollster/polls/fox-24280,http://www.foxnews.com/politics/interactive/2016/04/14/fox-news-poll-national-release-april-14-2016/,Nonpartisan,None
FOX,4/11/2016,4/13/2016,2016-04-14T22:06:00Z,,Registered Voters - Democrat,Live Phone,87,6,2,1,http://elections.huffingtonpost.com/pollster/polls/fox-24280,http://www.foxnews.com/politics/interactive/2016/04/14/fox-news-poll-national-release-april-14-2016/,Nonpartisan,None
FOX,4/11/2016,4/13/2016,2016-04-14T22:06:00Z,,Registered Voters - Republican,Live Phone,11,82,1,2,http://elections.huffingtonpost.com/pollster/polls/fox-24280,http://www.foxnews.com/politics/interactive/2016/04/14/fox-news-poll-national-release-april-14-2016/,Nonpartisan,None
FOX,4/11/2016,4/13/2016,2016-04-14T22:06:00Z,,Registered Voters - independent,Live Phone,40,37,3,7,http://elections.huffingtonpost.com/pollster/polls/fox-24280,http://www.foxnews.com/politics/interactive/2016/04/14/fox-news-poll-national-release-april-14-2016/,Nonpartisan,None
CBS,4/8/2016,4/12/2016,2016-04-15T03:46:26Z,1098,Registered Voters,Live Phone,50,40,8,1,http://elections.huffingtonpost.com/pollster/polls/cbs-24282,https://www.scribd.com/doc/308687713/Toplines-General-Election-poll-4-14-16,Nonpartisan,None
CBS,4/8/2016,4/12/2016,2016-04-15T03:46:26Z,348,Registered Voters - Democrat,Live Phone,88,8,4,1,http://elections.huffingtonpost.com/pollster/polls/cbs-24282,https://www.scribd.com/doc/308687713/Toplines-General-Election-poll-4-14-16,Nonpartisan,None
CBS,4/8/2016,4/12/2016,2016-04-15T03:46:26Z,333,Registered Voters - Republican,Live Phone,11,82,8,,http://elections.huffingtonpost.com/pollster/polls/cbs-24282,https://www.scribd.com/doc/308687713/Toplines-General-Election-poll-4-14-16,Nonpartisan,None
CBS,4/8/2016,4/12/2016,2016-04-15T03:46:26Z,352,Registered Voters - independent,Live Phone,51,33,14,2,http://elections.huffingtonpost.com/pollster/polls/cbs-24282,https://www.scribd.com/doc/308687713/Toplines-General-Election-poll-4-14-16,Nonpartisan,None
Morning Consult,4/8/2016,4/11/2016,2016-04-19T17:22:39Z,4015,Registered Voters,Internet,46,37,16,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24311,https://morningconsultintelligence.com/media/mc/160403_topline_trend_v2_AP.pdf,Nonpartisan,None
Morning Consult,4/8/2016,4/11/2016,2016-04-19T17:22:39Z,1517,Registered Voters - Democrat,Internet,80,12,8,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24311,https://morningconsultintelligence.com/media/mc/160403_topline_trend_v2_AP.pdf,Nonpartisan,None
Morning Consult,4/8/2016,4/11/2016,2016-04-19T17:22:39Z,1118,Registered Voters - Republican,Internet,10,76,14,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24311,https://morningconsultintelligence.com/media/mc/160403_topline_trend_v2_AP.pdf,Nonpartisan,None
Morning Consult,4/8/2016,4/11/2016,2016-04-19T17:22:39Z,1379,Registered Voters - independent,Internet,38,34,28,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24311,https://morningconsultintelligence.com/media/mc/160403_topline_trend_v2_AP.pdf,Nonpartisan,None
NBC/SurveyMonkey,4/4/2016,4/10/2016,2016-04-12T14:40:57Z,11204,Registered Voters,Internet,43,36,2,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24251,http://www.nbcnews.com/politics/2016-election/poll-voters-split-between-clinton-trump-hypothetical-november-matchup-n554306,Nonpartisan,None
Ipsos/Reuters,4/2/2016,4/6/2016,2016-04-08T14:18:30Z,1325,Registered Voters,Internet,39,34,11,16,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24232,http://www.ipsos-na.com/download/pr.aspx?id=15462,Nonpartisan,None
Morning Consult,4/1/2016,4/3/2016,2016-04-05T13:18:16Z,2004,Registered Voters,Internet,45,38,17,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24207,https://morningconsult.com/2016/04/donald-trump-polling-abortion-comments/,Nonpartisan,None
NBC/SurveyMonkey,3/28/2016,4/3/2016,2016-04-05T12:41:11Z,12116,Registered Voters,Internet,45,33,1,,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24206,https://www.scribd.com/doc/306974607/NBC-News-SurveyMonkey-Weekly-Toplines-and-Methodology-3-28-4-3?secret_password=Osw6wZNsOphJxihwYPNZ,Nonpartisan,None
Morning Consult,4/1/2016,4/3/2016,2016-04-05T13:18:16Z,746,Registered Voters - Democrat,Internet,79,10,11,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24207,https://morningconsult.com/2016/04/donald-trump-polling-abortion-comments/,Nonpartisan,None
Morning Consult,4/1/2016,4/3/2016,2016-04-05T13:18:16Z,598,Registered Voters - Republican,Internet,13,72,15,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24207,https://morningconsult.com/2016/04/donald-trump-polling-abortion-comments/,Nonpartisan,None
Morning Consult,4/1/2016,4/3/2016,2016-04-05T13:18:16Z,659,Registered Voters - independent,Internet,36,39,25,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24207,https://morningconsult.com/2016/04/donald-trump-polling-abortion-comments/,Nonpartisan,None
IBD/TIPP,3/28/2016,4/2/2016,2016-04-04T14:03:18Z,,Registered Voters,Live Phone,47,35,9,9,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24194,http://www.investors.com/politics/trump-support-fades-as-mistakes-grow-sanders-clinton-tied-ibdtipp-poll/,Nonpartisan,None
IBD/TIPP,3/28/2016,4/2/2016,2016-04-04T14:03:18Z,284,Registered Voters - Democrat,Live Phone,84,8,4,4,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24194,http://www.investors.com/politics/trump-support-fades-as-mistakes-grow-sanders-clinton-tied-ibdtipp-poll/,Nonpartisan,None
IBD/TIPP,3/28/2016,4/2/2016,2016-04-04T14:03:18Z,245,Registered Voters - Republican,Live Phone,9,69,12,10,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24194,http://www.investors.com/politics/trump-support-fades-as-mistakes-grow-sanders-clinton-tied-ibdtipp-poll/,Nonpartisan,None
IBD/TIPP,3/28/2016,4/2/2016,2016-04-04T14:03:18Z,278,Registered Voters - independent,Live Phone,41,35,12,12,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-24194,http://www.investors.com/politics/trump-support-fades-as-mistakes-grow-sanders-clinton-tied-ibdtipp-poll/,Nonpartisan,None
Ipsos/Reuters,3/27/2016,3/31/2016,2016-03-31T18:45:12Z,1580,Registered Voters,Internet,45,32,9,13,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24179,"http://big.assets.huffingtonpost.com/ReuterIPSOS3312016.pdf	",Nonpartisan,None
McClatchy/Marist,3/29/2016,3/31/2016,2016-04-07T20:59:28Z,1066,Registered Voters,Live Phone,50,41,9,,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-24230,http://www.mcclatchydc.com/news/politics-government/election/article70343792.html,Nonpartisan,None
McClatchy/Marist,3/29/2016,3/31/2016,2016-04-07T20:59:28Z,,Registered Voters - Democrat,Live Phone,90,7,3,,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-24230,http://www.mcclatchydc.com/news/politics-government/election/article70343792.html,Nonpartisan,None
McClatchy/Marist,3/29/2016,3/31/2016,2016-04-07T20:59:28Z,,Registered Voters - Republican,Live Phone,12,81,7,,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-24230,http://www.mcclatchydc.com/news/politics-government/election/article70343792.html,Nonpartisan,None
McClatchy/Marist,3/29/2016,3/31/2016,2016-04-07T20:59:28Z,,Registered Voters - independent,Live Phone,44,41,15,,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-24230,http://www.mcclatchydc.com/news/politics-government/election/article70343792.html,Nonpartisan,None
YouGov/Economist,3/26/2016,3/29/2016,2016-03-31T20:35:54Z,1613,Registered Voters,Internet,45,41,7,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24181,https://today.yougov.com/news/2016/03/31/trump-still-leads/,Nonpartisan,None
YouGov/Economist,3/26/2016,3/29/2016,2016-03-31T20:35:54Z,434,Registered Voters - Democrat,Internet,92,3,5,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24181,https://today.yougov.com/news/2016/03/31/trump-still-leads/,Nonpartisan,None
YouGov/Economist,3/26/2016,3/29/2016,2016-03-31T20:35:54Z,497,Registered Voters - Republican,Internet,7,76,17,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24181,https://today.yougov.com/news/2016/03/31/trump-still-leads/,Nonpartisan,None
YouGov/Economist,3/26/2016,3/29/2016,2016-03-31T20:35:54Z,682,Registered Voters - independent,Internet,49,35,16,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24181,https://today.yougov.com/news/2016/03/31/trump-still-leads/,Nonpartisan,None
PPP (D),3/24/2016,3/26/2016,2016-03-31T18:05:23Z,1083,Registered Voters,IVR/Online,48,41,11,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-24178,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_33116.pdf,Pollster,Dem
Morning Consult,3/24/2016,3/26/2016,2016-03-28T17:06:25Z,2071,Registered Voters,Internet,44,38,18,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24158,https://morningconsult.com/2016/03/security-issues-rise-after-brussels-attacks/,Nonpartisan,None
Morning Consult,3/24/2016,3/26/2016,2016-03-28T17:06:25Z,783,Registered Voters - Democrat,Internet,78,11,12,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24158,https://morningconsult.com/2016/03/security-issues-rise-after-brussels-attacks/,Nonpartisan,None
Morning Consult,3/24/2016,3/26/2016,2016-03-28T17:06:25Z,654,Registered Voters - Republican,Internet,11,75,14,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24158,https://morningconsult.com/2016/03/security-issues-rise-after-brussels-attacks/,Nonpartisan,None
Morning Consult,3/24/2016,3/26/2016,2016-03-28T17:06:25Z,635,Registered Voters - independent,Internet,37,34,29,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24158,https://morningconsult.com/2016/03/security-issues-rise-after-brussels-attacks/,Nonpartisan,None
GQR (D-Democracy Corps/Women's Voices Women Vote),3/17/2016,3/24/2016,2016-04-01T18:06:29Z,900,Likely Voters,Live Phone,53,40,6,1,http://elections.huffingtonpost.com/pollster/polls/gqr-d-democracy-corps-women-s-voices-women-vote-24187,http://www.democracycorps.com/attachments/article/1029/Dcor_March%20National_Memo_4.1.2016_FOR%20RELEASE.pdf?ct=t%28WV+March+National+Poll+Release%29,Pollster,Dem
Ipsos/Reuters,3/19/2016,3/23/2016,2016-03-24T17:37:44Z,1311,Registered Voters,Internet,43,35,13,9,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24148,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePolitical3.23.16.pdf,Nonpartisan,None
McLaughlin (R),3/17/2016,3/23/2016,2016-03-29T18:06:35Z,1002,Likely Voters,Internet,48,41,12,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24168,http://mclaughlinonline.com/pols/wp-content/uploads/2016/03/National-Omnibus-3-23-16-Topline-Public.pdf,Pollster,Rep
McLaughlin (R),3/17/2016,3/23/2016,2016-03-29T18:06:35Z,398,Likely Voters - Democrat,Internet,84,10,6,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24168,http://mclaughlinonline.com/pols/wp-content/uploads/2016/03/National-Omnibus-3-23-16-Topline-Public.pdf,Pollster,Rep
McLaughlin (R),3/17/2016,3/23/2016,2016-03-29T18:06:35Z,361,Likely Voters - Republican,Internet,9,81,11,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24168,http://mclaughlinonline.com/pols/wp-content/uploads/2016/03/National-Omnibus-3-23-16-Topline-Public.pdf,Pollster,Rep
McLaughlin (R),3/17/2016,3/23/2016,2016-03-29T18:06:35Z,59,Likely Voters - independent,Internet,44,37,19,,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-24168,http://mclaughlinonline.com/pols/wp-content/uploads/2016/03/National-Omnibus-3-23-16-Topline-Public.pdf,Pollster,Rep
FOX,3/20/2016,3/22/2016,2016-03-23T22:19:32Z,1016,Registered Voters,Live Phone,49,38,3,2,http://elections.huffingtonpost.com/pollster/polls/fox-24141,http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/,Nonpartisan,None
FOX,3/20/2016,3/22/2016,2016-03-23T22:19:32Z,,Registered Voters - Democrat,Live Phone,92,5,1,,http://elections.huffingtonpost.com/pollster/polls/fox-24141,http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/,Nonpartisan,None
FOX,3/20/2016,3/22/2016,2016-03-23T22:19:32Z,,Registered Voters - Republican,Live Phone,12,73,3,3,http://elections.huffingtonpost.com/pollster/polls/fox-24141,http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/,Nonpartisan,None
FOX,3/20/2016,3/22/2016,2016-03-23T22:19:32Z,,Registered Voters - independent,Live Phone,33,41,4,1,http://elections.huffingtonpost.com/pollster/polls/fox-24141,http://www.foxnews.com/politics/interactive/2016/03/23/fox-news-poll-national-general-election-32316/,Nonpartisan,None
Bloomberg/Selzer,3/19/2016,3/22/2016,2016-03-23T21:46:55Z,815,Likely Voters,Live Phone,54,36,9,,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-24140,http://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r.f2qF2GAiq8/v0,Nonpartisan,None
Morning Consult,3/18/2016,3/21/2016,2016-03-21T19:05:11Z,2001,Registered Voters,Internet,45,38,18,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24122,https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/,Nonpartisan,None
Quinnipiac,3/16/2016,3/21/2016,2016-03-23T11:19:56Z,1451,Registered Voters,Live Phone,46,40,11,3,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24134,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2333,Nonpartisan,None
Morning Consult,3/18/2016,3/21/2016,2016-03-21T19:05:11Z,726,Registered Voters - Democrat,Internet,80,9,11,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24122,https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/,Nonpartisan,None
Quinnipiac,3/16/2016,3/21/2016,2016-03-23T11:19:56Z,635,Registered Voters - Democrat,Live Phone,88,5,6,1,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24134,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2333,Nonpartisan,None
Quinnipiac,3/16/2016,3/21/2016,2016-03-23T11:19:56Z,652,Registered Voters - Republican,Live Phone,9,80,9,2,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24134,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2333,Nonpartisan,None
Morning Consult,3/18/2016,3/21/2016,2016-03-21T19:05:11Z,581,Registered Voters - Republican,Internet,12,72,17,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24122,https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/,Nonpartisan,None
Quinnipiac,3/16/2016,3/21/2016,2016-03-23T11:19:56Z,,Registered Voters - independent,Live Phone,39,40,16,5,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24134,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2333,Nonpartisan,None
Morning Consult,3/18/2016,3/21/2016,2016-03-21T19:05:11Z,694,Registered Voters - independent,Internet,35,39,26,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24122,https://morningconsult.com/2016/03/paul-ryan-general-election-polling-hillary-clinton-bernie-sanders/,Nonpartisan,None
Monmouth University,3/17/2016,3/20/2016,2016-03-24T14:57:21Z,848,Registered Voters,Live Phone,48,38,12,2,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24144,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/7714a05b-515f-4ad3-bdaa-e72a6e5f8e61.pdf,Nonpartisan,None
